"filename", "language", "YAML", "JSON", "JavaScript", "Properties", "HTML", "Dart", "Groovy", "Markdown", "XML", "Swift", "C++", "comment", "blank", "total"
"c:\Users\DELL\mril\mril\lib\Screens\favorite_user.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 7, 73
"c:\Users\DELL\mril\mril\lib\Screens\freelancer_offer_detail.dart", "Dart", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 1, 8, 141
"c:\Users\DELL\mril\mril\lib\Screens\guest_screen.dart", "Dart", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 3, 15, 191
"c:\Users\DELL\mril\mril\lib\Screens\job_applicant.dart", "Dart", 0, 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 16, 10, 341
"c:\Users\DELL\mril\mril\lib\Screens\job_details.dart", "Dart", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 9, 8, 139
"c:\Users\DELL\mril\mril\lib\Screens\jobs_overview_screen.dart", "Dart", 0, 0, 0, 0, 0, 632, 0, 0, 0, 0, 0, 28, 13, 673
"c:\Users\DELL\mril\mril\lib\Screens\jobs_posted_by_company.dart", "Dart", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 2, 8, 150
"c:\Users\DELL\mril\mril\lib\Screens\jobs_posted_by_user.dart", "Dart", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 8, 10, 178
"c:\Users\DELL\mril\mril\lib\Screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 32, 10, 273
"c:\Users\DELL\mril\mril\lib\Screens\notification_screen.dart", "Dart", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 22, 9, 95
"c:\Users\DELL\mril\mril\lib\Screens\offer_details_screen.dart", "Dart", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 3, 6, 103
"c:\Users\DELL\mril\mril\lib\Screens\requests_screen\freelancer_requests.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 7, 76
"c:\Users\DELL\mril\mril\lib\Screens\requests_screen\user_requests.dart", "Dart", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 7, 75
"c:\Users\DELL\mril\mril\lib\Screens\select_location.dart", "Dart", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 2, 5, 98
"c:\Users\DELL\mril\mril\lib\Screens\sign_up_screens\sign_up_company_screen.dart", "Dart", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 1, 8, 173
"c:\Users\DELL\mril\mril\lib\Screens\sign_up_screens\sign_up_screen.dart", "Dart", 0, 0, 0, 0, 0, 381, 0, 0, 0, 0, 0, 7, 17, 405
"c:\Users\DELL\mril\mril\lib\Screens\wait_company_screen.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\DELL\mril\mril\lib\config.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
